en_us	pt_BR
Mmm, mmm.	Mmm mmm.
Am I, am I, am I?.	Eu sou, sou eu?.
(Am I?) Hello?.	(Eu sou?) Olá?.
Am I, am I, am I?.	Eu sou, sou eu?.
(Eh, am I?).	(Eh, eu estou?).
You are home.	Você está em casa.
You are home, hmm.	Você está em casa, hmm.
(Omega hai foleet, omega hai foleet).	(Omega hai foleet, omega hai foleet).
(Omega toneca, omega for let in).	(Omega toneca, ômega para deixar entrar).
You are home, you are home.	Você está em casa, você está em casa.
(Omega hai foleet, omega hai foleet).	(Omega hai foleet, omega hai foleet).
(Omega toneca, omega for let in).	(Omega toneca, ômega para deixar entrar).
In it, the world will not hurt.	Nele, o mundo não vai doer.
The good ones always die.	Os bons sempre morrem.
So that is why we bring them here.	Então é por isso que os trazemos aqui.
Now you are home.	Agora você está em casa.
Murder Song (5, 4, 3, 2, 1)	Canção do Assassinato (5, 4, 3, 2, 1)
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
He holds the gun against my head.	Ele segura a arma contra a minha cabeça.
I close my eyes and bang, I am dead.	Eu fecho os olhos e bang, estou morta.
I know he knows that he’s killing me for mercy.	Eu sei que ele sabe que está me matando por misericórdia.
And here I go.	E aqui vou eu.
And here I go.	E aqui vou eu.
He holds my body in his arms.	Ele segura meu corpo em seus braços.
He didn't mean to do no harm.	Ele não queria me fazer nenhum mal.
And he holds me tight.	E ele me segura apertado.
He did it all to spare me from the awful things in life that comes.	Ele fez tudo para me poupar das coisas horríveis que a vida traria.
And he cries and cries.	E ele chora e chora.
I know he knows that he’s killing me for mercy.	Eu sei que ele sabe que está me matando por misericórdia.
And here I go.	E aqui vou eu.
And here I go.	E aqui vou eu.
He holds my body in his arms.	Ele segura meu corpo em seus braços.
He didn't mean to do no harm.	Ele não queria me fazer nenhum mal.
And he cries and cries.	E ele chora e chora.
He did it all to spare me from the awful things in life that comes.	Ele fez tudo para me poupar das coisas horríveis que a vida traria.
And he cries and cries.	E ele chora e chora.
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
Five, four, three, two, one.	Cinco, quatro, três, dois, um.
The gun is gone.	A arma se foi.
And so am I.	E eu também.
And here I go.	E aqui vou eu.
My Heart Is a Storm	Meu Coração É Uma Tempestade
Shake off the frost inside my soul.	Sacudo para fora a geada dentro da minha alma.
The icy fingers trying not to let me go.	Os dedos gelados tentando não me deixar ir.
A sea lies underneath my ribs.	Um mar está embaixo das minhas costelas.
It's growing stronger now.	Está crescendo mais forte agora.
My heart is all that's left.	Meu coração é tudo o que me resta.
Oh oh, oh oh.	Oh oh, oh oh.
Carried by the wind.	Levada pelo vento.
Running with the river.	Correndo com o rio.
Waiting for the moment.	Esperando o momento.
When the silence breaks with a thunderous roar.	Quando o silêncio se rompe com um rugido estrondoso.
Seasons change and I transform.	As estações mudam e eu transformo.
Oh oh oh, my heart is a storm.	Oh oh oh, meu coração é uma tempestade.
When the time has come, I'll fly away.	Quando chegar a hora, vou voar para longe.
On wings of a silver hurricane.	Nas asas de um furacão de prata.
Eh eh eh, my heart is a storm.	Eh eh eh, meu coração é uma tempestade.
My heart is a storm.	Meu coração é uma tempestade.
I shed the skin I need no more.	Eu derramei a pele que não preciso mais.
Reveal the colors I have never shown before.	Revelei as cores que nunca mostrei antes.
And it spreads like particles of light.	E se espalha como partículas de luz.
Like particles of light.	Como partículas de luz.
You'll see me shimmering.	Você vai me ver cintilante.
Like crystals in the stars.	Como cristais nas estrelas.
Oh, oh, oh, oh.	Oh, oh, oh, oh.
Carried by the wind.	Levada pelo vento.
Running with the river.	Correndo com o rio.
Waiting for the moment.	Esperando o momento.
When the silence breaks with a thunderous roar.	Quando o silêncio se rompe com um rugido estrondoso.
Seasons change and I transform.	As estações mudam e eu transformo.
Oh oh oh, my heart is a storm.	Oh oh oh, meu coração é uma tempestade.
When the time has come, I'll fly away.	Quando chegar a hora, vou voar para longe.
On wings of a silver hurricane.	Nas asas de um furacão de prata.
Eh eh eh, my heart is a storm.	Eh eh eh, meu coração é uma tempestade.
My heart is a storm.	Meu coração é uma tempestade.
My heart is a storm.	Meu coração é uma tempestade.
My heart, my heart is a storm.	Meu coração, meu coração é uma tempestade.
All I wanted is to drift forever.	Tudo o que eu queria é deslizar para sempre.
Dive into a complete surrender.	Mergulhar em uma rendição completa.
Free to follow this drowning feeling.	Livre para seguir esse sentimento de afogamento.
Free to ride off into the distance.	Livre para andar na distância.
When the silence breaks with a thunderous roar.	Quando o silêncio se rompe com um rugido estrondoso.
Seasons change and I transform.	As estações mudam e eu transformo.
Oh oh oh, my heart is a storm.	Oh oh oh, meu coração é uma tempestade.
When the time has come, I'll fly away.	Quando chegar a hora, vou voar para longe.
On wings of a silver hurricane.	Nas asas de um furacão de prata.
Eh eh eh, my heart is a storm.	Eh eh eh, meu coração é uma tempestade.
My heart is a storm.	Meu coração é uma tempestade.
My heart is a storm.	Meu coração é uma tempestade.
My heart, my heart is a storm.	Meu coração, meu coração é uma tempestade.
Nature Boy	Menino Da Natureza
There was a boy.	Havia um menino.
A very strange enchanted boy.	Um menino encantado e muito estranho.
They say he wandered very far, very far.	Dizem que ele vagou muito longe, muito longe.
Over land and sea.	Por terra e mar.
A little shy and sad of eye.	Um pouco tímido e de olhar triste.
But very wise was he.	Mas muito sábio era ele.
And then one day.	E então um dia.
A lucky day he passed my way.	Um dia de sorte ele cruzou o meu caminho.
Then we spoke of many things.	Então nós falamos de muitas coisas.
Fools and kings.	Bobos e reis.
Then he said to me.	Então ele me disse.
The greatest thing you'll ever learn.	A maior coisa que você vai aprender.
Is to love and be loved in return.	É amar e ser amado de volta.
Under Stars	Sob As Estrelas
Mad world beats outside our hearts.	Um mundo louco bate fora de nossos corações.
Times of need, we are apart.	Tempos de necessidade, nós estamos separados.
Under stars, we are alone.	Sob as estrelas, nós estamos sozinhos.
Under stars.	Sob as estrelas.
Knuckles move under his skin.	Juntas se movem sob sua pele.
He wraps his heart and drives it in.	Ele envolve seu coração e se dirige para dentro.
And they move it all around.	E eles estão se movendo para os lados.
Until we cry.	Até chorarmos.
Under stars.	Sob as estrelas.
Under stars.	Sob as estrelas.
Mother cries and turns around.	A mãe chora e se vira.
Walks outside, without a soul.	Caminha do lado de fora, sem uma alma.
The rain against the skin.	A chuva contra a pele.
While she faces every sin.	Enquanto ela enfrenta todo pecado.
Under stars.	Sob as estrelas.
Under stars.	Sob as estrelas.
They have only fallen asleep.	Eles apenas adormeceram.
They have only fallen asleep.	Eles apenas adormeceram.
They have only fallen asleep.	Eles apenas adormeceram.
They have only fallen asleep.	Eles apenas adormeceram.
They have only fallen asleep.	Eles apenas adormeceram.
They have only fallen asleep.	Eles apenas adormeceram.
I've see it many times.	Eu vi muitas vezes.
Each time they close their eyes and say goodbye.	Cada vez que eles fecham seus olhos e dizem adeus.
Rest in peace and give yourself to harmony.	Descanse em paz e entregue-se à harmonia.
I've see it many times.	Eu vi muitas vezes.
Each time they close their eyes and say goodbye.	Cada vez que eles fecham seus olhos e dizem adeus.
Rest in peace and give yourself to harmony.	Descanse em paz e entregue-se à harmonia.
Give yourself to harmony.	Entregue-se à harmonia.
Underneath stars.	Sob as estrelas.
Under The Water	Sob a Água
Under the water we can't breathe, we can't breathe.	Sob a água não conseguimos respirar, não conseguimos respirar.
Under the water we die.	Sob a água nós morremos.
Under the water there's no one watching.	Sob a água não há ninguém nos vendo.
Under the water we are alone.	Sob a água estamos sozinhos.
Then why do we jump in?.	Então, por que nós saltamos?.
Why do we jump in?.	Por que nós saltamos?.
Under the water we die.	Sob a água nós morremos.
So many souls, that lost control.	Tantas almas que perderam o controle.
Where did they fall?.	Onde é que elas caem?.
Into the deep, what do they seek?.	Lá no fundo, o que elas procuram?.
Where did they fall?.	Onde é que elas caem?.
Where did they fall?.	Onde é que elas caem?.
Hearts will dream again.	Corações vão sonhar novamente.
Lungs will breathe in.	Pulmões irão respirar.
Wash away the sin.	Lave o pecado.
It's where it begins.	É onde começa.
Feet won't fail you now.	Pés não lhe falharão agora.
Arms won't let you down.	Braços não vão te deixar cair.
Wash away the sin.	Lave o pecado.
Under the water we can't be together.	Sob a água não podemos ficar juntos.
Under the water we die.	Sob a água nós morremos.
Then why do we jump in?.	Então, por que nós saltamos?.
Why do we jump in?.	Por que nós saltamos?.
Under the water we die.	Sob a água nós morremos.
So many souls that lost control.	Tantas almas que perderam o controle.
Where did they fall?.	Onde é que elas caem?.
Into the deep, what do they seek?.	Lá no fundo, o que elas procuram?.
Where did they fall?.	Onde é que elas caem?.
Where did they fall?.	Onde é que elas caem?.
Hearts will dream again.	Corações vão sonhar novamente.
Lungs will breathe in.	Pulmões irão respirar.
Wash away the sin.	Lave o pecado.
It's where it begins.	É onde começa.
Feet won't fail you now.	Pés não lhe falharão agora.
Arms won't let you down.	Braços não vão te deixar cair.
Wash away the sin.	Lave o pecado.
It's where it begins.	É onde começa.
Hearts will dream again.	Corações vão sonhar novamente.
Wash away the sin.	Lave o pecado.
Walking In The Air	Caminhando No Ar
I'm walking in the air, I'm floating in a moonlit sky.	Estou andando no ar, flutuando num céu iluminado pela lua.
The people far below, they greet us as we fly.	As pessoas lá embaixo, elas nos saúdam enquanto voamos.
I'm holding very tight.	Estou segurando muito apertado.
I'm floating in a midnight blue.	Estou flutuando em um azul de meia-noite.
I'm finding I can fly so high about with you.	Estou achando que posso voar tão alto com você.
Ah-ha ah-ha ah, ah-ha ah-ha ah, ah-ha ah-ha ah.	Ah-ha ah-ha ah, ah-ha ah-ha ah, ah-ha ah-ha ah.
Ah ha, ah ha.	Ah ha, ah ha.
Far across the world, the villages go by like trees.	Do outro lado do mundo, as aldeias passam como árvores.
The rivers and the hills, the forest and the stream.	Os rios e as colinas, a floresta e o riacho.
Children gaze open mouth, taken by surprise.	As crianças olham com a boca aberta, tomadas de surpresa.
Nobody down below believes their eyes.	Ninguém lá embaixo acredita em seus olhos.
I'm walking in the air, I'm floating in a moonlit sky.	Estou caminhando no ar, estou flutuando em um céu iluminado pela lua.
The people far below, they greet us as we fly.	As pessoas bem abaixo, nos saúdam enquanto voamos.
I'm holding very tight.	Estou segurando muito apertado.
I'm floating in a midnight blue.	Estou flutuando em um azul de meia-noite.
I'm finding I can fly so high about with you.	Estou achando que posso voar tão alto com você.
Ah-ha ah-ha ah, ah-ha ah-ha ah, ah-ha ah-ha ah.	Ah-ha ah-ha ah, ah-ha ah-ha ah, ah-ha ah-ha ah.
Ah ha, ah ha.	Ah ha, ah ha.
I'm walking in the air.	Estou caminhando no ar.
Warrior	Guerreira
I fall asleep in my own tears.	Eu adormeço nas minhas próprias lágrimas.
